Salary From,,Salary To,Married/Spouse Not Working 0 K11,Married/Spouse Not Working 0 K12,Married/Spouse Not Working 0 K13,Married/Spouse Not Working 0 K14,Married/Spouse Not Working 0 K15,Married/Spouse Not Working 0 K16,Married/Spouse Not Working 0 K17,Married/Spouse Not Working 0 K18,Married/Spouse Not Working 0 K19,Married/Spouse Not Working 0 K20,Married/Spouse Working 0 K11,Married/Spouse Working 0 K12,Married/Spouse Working 0 K13,Married/Spouse Working 0 K14,Married/Spouse Working 0 K15,Married/Spouse Working 0 K16,Married/Spouse Working 0 K17,Married/Spouse Working 0 K18,Married/Spouse Working 0 K19,Married/Spouse Working 0 K20
5166,-,5170,0,0,0,0,0,0,0,0,0,0,6.75,1.75,0,0,0,0,0,0,0,0
5171,-,5175,0,0,0,0,0,0,0,0,0,0,6.9,1.9,0,0,0,0,0,0,0,0
5176,-,5180,0,0,0,0,0,0,0,0,0,0,7.05,2.05,0,0,0,0,0,0,0,0
5181,-,5185,0,0,0,0,0,0,0,0,0,0,7.2,2.2,0,0,0,0,0,0,0,0
5186,-,5190,0,0,0,0,0,0,0,0,0,0,7.35,2.35,0,0,0,0,0,0,0,0
5191,-,5195,0,0,0,0,0,0,0,0,0,0,7.5,2.5,0,0,0,0,0,0,0,0
5196,-,5200,0,0,0,0,0,0,0,0,0,0,7.65,2.65,0,0,0,0,0,0,0,0
5201,-,5205,0,0,0,0,0,0,0,0,0,0,7.8,2.8,0,0,0,0,0,0,0,0
5206,-,5210,0,0,0,0,0,0,0,0,0,0,7.95,2.95,0,0,0,0,0,0,0,0
5211,-,5215,0,0,0,0,0,0,0,0,0,0,8.1,3.1,0,0,0,0,0,0,0,0
5216,-,5220,0,0,0,0,0,0,0,0,0,0,8.25,3.25,0,0,0,0,0,0,0,0
5221,-,5225,0,0,0,0,0,0,0,0,0,0,8.4,3.4,0,0,0,0,0,0,0,0
5226,-,5230,0,0,0,0,0,0,0,0,0,0,8.55,3.55,0,0,0,0,0,0,0,0
5231,-,5235,0,0,0,0,0,0,0,0,0,0,8.7,3.7,0,0,0,0,0,0,0,0
5236,-,5240,0,0,0,0,0,0,0,0,0,0,8.85,3.85,0,0,0,0,0,0,0,0
5241,-,5245,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0
5246,-,5250,0,0,0,0,0,0,0,0,0,0,9.15,4.15,0,0,0,0,0,0,0,0
5251,-,5255,0,0,0,0,0,0,0,0,0,0,9.3,4.3,0,0,0,0,0,0,0,0
5256,-,5260,0,0,0,0,0,0,0,0,0,0,9.45,4.45,0,0,0,0,0,0,0,0
5261,-,5265,0,0,0,0,0,0,0,0,0,0,9.6,4.6,0,0,0,0,0,0,0,0
5266,-,5270,0,0,0,0,0,0,0,0,0,0,9.75,4.75,0,0,0,0,0,0,0,0
5271,-,5275,0,0,0,0,0,0,0,0,0,0,9.9,4.9,0,0,0,0,0,0,0,0
5276,-,5280,0,0,0,0,0,0,0,0,0,0,10.05,5.05,0,0,0,0,0,0,0,0
5281,-,5285,0,0,0,0,0,0,0,0,0,0,10.2,5.2,0,0,0,0,0,0,0,0
5286,-,5290,0,0,0,0,0,0,0,0,0,0,10.35,5.35,0,0,0,0,0,0,0,0
5291,-,5295,0,0,0,0,0,0,0,0,0,0,10.5,5.5,0,0,0,0,0,0,0,0
5296,-,5300,0,0,0,0,0,0,0,0,0,0,10.65,5.65,0,0,0,0,0,0,0,0
5301,-,5305,0,0,0,0,0,0,0,0,0,0,10.8,5.8,0,0,0,0,0,0,0,0
5306,-,5310,0,0,0,0,0,0,0,0,0,0,10.95,5.95,0,0,0,0,0,0,0,0
5311,-,5315,0,0,0,0,0,0,0,0,0,0,11.1,6.1,1.10 0,,0,0,0,0,0,0
357 of 732,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Jumlah
Saraan Bersih
Bulanan",,,,,,,,,,,"POTONGAN CUKAI BULANAN
MONTHLY TAX DEDUCTIONS",,,,,,,,,,,
Total,,,,,,,"Kategori 2
Category 2",,,,,,,,,,"Kategori 3
Category 3",,,,,
"Monthly Net
Remuneration",,,,,,"Jika isteri/suami tidak bekerja
Where wife/husband is not working",,,,,,,,,,"Jika isteri/suami bekerja
Where wife/husband is working",,,,,,
,,,KA11,KA12,KA13,KA14,KA15,KA16,KA17,KA18,KA19,KA20,KA11,KA12,KA13,KA14,KA15,KA16,KA17,KA18,KA19,KA20
RM,,,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM
5316,-,5320,0,0,0,0,0,0,0,0,0,0,11.25,6.25,1.25,0,0,0,0,0,0,0
5321,-,5325,0,0,0,0,0,0,0,0,0,0,11.4,6.4,1.4,0,0,0,0,0,0,0
5326,-,5330,0,0,0,0,0,0,0,0,0,0,11.55,6.55,1.55,0,0,0,0,0,0,0
5331,-,5335,0,0,0,0,0,0,0,0,0,0,11.7,6.7,1.7,0,0,0,0,0,0,0
5336,-,5340,0,0,0,0,0,0,0,0,0,0,11.85,6.85,1.85,0,0,0,0,0,0,0
5341,-,5345,0,0,0,0,0,0,0,0,0,0,12,7,2,0,0,0,0,0,0,0
5346,-,5350,0,0,0,0,0,0,0,0,0,0,12.15,7.15,2.15,0,0,0,0,0,0,0
5351,-,5355,0,0,0,0,0,0,0,0,0,0,12.3,7.3,2.3,0,0,0,0,0,0,0
5356,-,5360,0,0,0,0,0,0,0,0,0,0,12.45,7.45,2.45,0,0,0,0,0,0,0
5361,-,5365,0,0,0,0,0,0,0,0,0,0,12.6,7.6,2.6,0,0,0,0,0,0,0
5366,-,5370,0,0,0,0,0,0,0,0,0,0,12.75,7.75,2.75,0,0,0,0,0,0,0
5371,-,5375,0,0,0,0,0,0,0,0,0,0,12.9,7.9,2.9,0,0,0,0,0,0,0
5376,-,5380,0,0,0,0,0,0,0,0,0,0,13.05,8.05,3.05,0,0,0,0,0,0,0
5381,-,5385,0,0,0,0,0,0,0,0,0,0,13.2,8.2,3.2,0,0,0,0,0,0,0
5386,-,5390,0,0,0,0,0,0,0,0,0,0,13.35,8.35,3.35,0,0,0,0,0,0,0
5391,-,5395,0,0,0,0,0,0,0,0,0,0,13.5,8.5,3.5,0,0,0,0,0,0,0
5396,-,5400,0,0,0,0,0,0,0,0,0,0,13.65,8.65,3.65,0,0,0,0,0,0,0
5401,-,5405,0,0,0,0,0,0,0,0,0,0,13.8,8.8,3.8,0,0,0,0,0,0,0
5406,-,5410,0,0,0,0,0,0,0,0,0,0,13.95,8.95,3.95,0,0,0,0,0,0,0
5411,-,5415,0,0,0,0,0,0,0,0,0,0,14.1,9.1,4.1,0,0,0,0,0,0,0
5416,-,5420,0,0,0,0,0,0,0,0,0,0,14.25,9.25,4.25,0,0,0,0,0,0,0
5421,-,5425,0,0,0,0,0,0,0,0,0,0,14.4,9.4,4.4,0,0,0,0,0,0,0
5426,-,5430,0,0,0,0,0,0,0,0,0,0,14.55,9.55,4.55,0,0,0,0,0,0,0
5431,-,5435,0,0,0,0,0,0,0,0,0,0,14.7,9.7,4.7,0,0,0,0,0,0,0
5436,-,5440,0,0,0,0,0,0,0,0,0,0,14.85,9.85,4.85,0,0,0,0,0,0,0
5441,-,5445,0,0,0,0,0,0,0,0,0,0,15,10,5,0,0,0,0,0,0,0
5446,-,5450,0,0,0,0,0,0,0,0,0,0,15.15,10.15,5.15,0,0,0,0,0,0,0
5451,-,5455,0,0,0,0,0,0,0,0,0,0,15.3,10.3,5.3,0,0,0,0,0,0,0
5456,-,5460,0,0,0,0,0,0,0,0,0,0,15.45,10.45,5.45,0,0,0,0,0,0,0
5461,-,5465,0,0,0,0,0,0,0,0,0,0,15.6,10.6,5.6,0,0,0,0,0,0,0
5466,-,5470,0,0,0,0,0,0,0,0,0,0,15.75,10.75,5.75,0,0,0,0,0,0,0
5471,-,5475,0,0,0,0,0,0,0,0,0,0,15.9,10.9,5.9,0,0,0,0,0,0,0
5476,-,5480,0,0,0,0,0,0,0,0,0,0,16.05,11.05,6.05,1.05,0,0,0,0,0,0
5481,-,5485,0,0,0,0,0,0,0,0,0,0,16.2,11.2,6.2,1.2,0,0,0,0,0,0
5486,-,5490,0,0,0,0,0,0,0,0,0,0,16.35,11.35,6.35,1.35,0,0,0,0,0,0
5491,-,5495,0,0,0,0,0,0,0,0,0,0,16.5,11.5,6.5,1.5,0,0,0,0,0,0
5496,-,5500,0,0,0,0,0,0,0,0,0,0,16.65,11.65,6.65,1.65,0,0,0,0,0,0
5501,-,5505,0,0,0,0,0,0,0,0,0,0,50.4,11.8,6.8,1.8,0,0,0,0,0,0
5506,-,5510,0,0,0,0,0,0,0,0,0,0,50.8,11.95,6.95,1.95,0,0,0,0,0,0
5511,-,5515,0,0,0,0,0,0,0,0,0,0,51.2,12.1,7.1,2.1,0,0,0,0,0,0
5516,-,5520,0,0,0,0,0,0,0,0,0,0,51.6,12.25,7.25,2.25,0,0,0,0,0,0
5521,-,5525,0,0,0,0,0,0,0,0,0,0,52,12.4,7.4,2.4,0,0,0,0,0,0
5526,-,5530,0,0,0,0,0,0,0,0,0,0,52.4,12.55,7.55,2.55,0,0,0,0,0,0
5531,-,5535,0,0,0,0,0,0,0,0,0,0,52.8,12.7,7.7,2.7,0,0,0,0,0,0
358 of 732,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Jumlah
Saraan Bersih
Bulanan",,,,,,,,,,,"POTONGAN CUKAI BULANAN
MONTHLY TAX DEDUCTIONS",,,,,,,,,,,
Total,,,,,,,"Kategori 2
Category 2",,,,,,,,,,"Kategori 3
Category 3",,,,,
"Monthly Net
Remuneration",,,,,,"Jika isteri/suami tidak bekerja
Where wife/husband is not working",,,,,,,,,,"Jika isteri/suami bekerja
Where wife/husband is working",,,,,,
,,,KA11,KA12,KA13,KA14,KA15,KA16,KA17,KA18,KA19,KA20,KA11,KA12,KA13,KA14,KA15,KA16,KA17,KA18,KA19,KA20
RM,,,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM
5536,-,5540,0,0,0,0,0,0,0,0,0,0,53.2,12.85,7.85,2.85,0,0,0,0,0,0
5541,-,5545,0,0,0,0,0,0,0,0,0,0,53.6,13,8,3,0,0,0,0,0,0
5546,-,5550,0,0,0,0,0,0,0,0,0,0,54,13.15,8.15,3.15,0,0,0,0,0,0
5551,-,5555,0,0,0,0,0,0,0,0,0,0,54.4,13.3,8.3,3.3,0,0,0,0,0,0
5556,-,5560,0,0,0,0,0,0,0,0,0,0,54.8,13.45,8.45,3.45,0,0,0,0,0,0
5561,-,5565,0,0,0,0,0,0,0,0,0,0,55.2,13.6,8.6,3.6,0,0,0,0,0,0
5566,-,5570,0,0,0,0,0,0,0,0,0,0,55.6,13.75,8.75,3.75,0,0,0,0,0,0
5571,-,5575,0,0,0,0,0,0,0,0,0,0,56,13.9,8.9,3.9,0,0,0,0,0,0
5576,-,5580,0,0,0,0,0,0,0,0,0,0,56.4,14.05,9.05,4.05,0,0,0,0,0,0
5581,-,5585,0,0,0,0,0,0,0,0,0,0,56.8,14.2,9.2,4.2,0,0,0,0,0,0
5586,-,5590,0,0,0,0,0,0,0,0,0,0,57.2,14.35,9.35,4.35,0,0,0,0,0,0
5591,-,5595,0,0,0,0,0,0,0,0,0,0,57.6,14.5,9.5,4.5,0,0,0,0,0,0
5596,-,5600,0,0,0,0,0,0,0,0,0,0,58,14.65,9.65,4.65,0,0,0,0,0,0
5601,-,5605,0,0,0,0,0,0,0,0,0,0,58.4,14.8,9.8,4.8,0,0,0,0,0,0
5606,-,5610,0,0,0,0,0,0,0,0,0,0,58.8,14.95,9.95,4.95,0,0,0,0,0,0
5611,-,5615,0,0,0,0,0,0,0,0,0,0,59.2,15.1,10.1,5.1,0,0,0,0,0,0
5616,-,5620,0,0,0,0,0,0,0,0,0,0,59.6,15.25,10.25,5.25,0,0,0,0,0,0
5621,-,5625,0,0,0,0,0,0,0,0,0,0,60,15.4,10.4,5.4,0,0,0,0,0,0
5626,-,5630,0,0,0,0,0,0,0,0,0,0,60.4,15.55,10.55,5.55,0,0,0,0,0,0
5631,-,5635,0,0,0,0,0,0,0,0,0,0,60.8,15.7,10.7,5.7,0,0,0,0,0,0
5636,-,5640,0,0,0,0,0,0,0,0,0,0,61.2,15.85,10.85,5.85,0,0,0,0,0,0
5641,-,5645,0,0,0,0,0,0,0,0,0,0,61.6,16,11,6,1,0,0,0,0,0
5646,-,5650,0,0,0,0,0,0,0,0,0,0,62,16.15,11.15,6.15,1.15,0,0,0,0,0
5651,-,5655,0,0,0,0,0,0,0,0,0,0,62.4,16.3,11.3,6.3,1.3,0,0,0,0,0
5656,-,5660,0,0,0,0,0,0,0,0,0,0,62.8,16.45,11.45,6.45,1.45,0,0,0,0,0
5661,-,5665,0,0,0,0,0,0,0,0,0,0,63.2,16.6,11.6,6.6,1.6,0,0,0,0,0
5666,-,5670,0,0,0,0,0,0,0,0,0,0,63.6,50.25,11.75,6.75,1.75,0,0,0,0,0
5671,-,5675,0,0,0,0,0,0,0,0,0,0,64,50.65,11.9,6.9,1.9,0,0,0,0,0
5676,-,5680,0,0,0,0,0,0,0,0,0,0,64.4,51.05,12.05,7.05,2.05,0,0,0,0,0
5681,-,5685,0,0,0,0,0,0,0,0,0,0,64.8,51.45,12.2,7.2,2.2,0,0,0,0,0
5686,-,5690,0,0,0,0,0,0,0,0,0,0,65.2,51.85,12.35,7.35,2.35,0,0,0,0,0
5691,-,5695,0,0,0,0,0,0,0,0,0,0,65.6,52.25,12.5,7.5,2.5,0,0,0,0,0
5696,-,5700,0,0,0,0,0,0,0,0,0,0,66,52.65,12.65,7.65,2.65,0,0,0,0,0
5701,-,5705,0,0,0,0,0,0,0,0,0,0,66.4,53.05,12.8,7.8,2.8,0,0,0,0,0
5706,-,5710,0,0,0,0,0,0,0,0,0,0,66.8,53.45,12.95,7.95,2.95,0,0,0,0,0
5711,-,5715,0,0,0,0,0,0,0,0,0,0,67.2,53.85,13.1,8.1,3.1,0,0,0,0,0
5716,-,5720,0,0,0,0,0,0,0,0,0,0,67.6,54.25,13.25,8.25,3.25,0,0,0,0,0
5721,-,5725,0,0,0,0,0,0,0,0,0,0,68,54.65,13.4,8.4,3.4,0,0,0,0,0
5726,-,5730,0,0,0,0,0,0,0,0,0,0,68.4,55.05,13.55,8.55,3.55,0,0,0,0,0
5731,-,5735,0,0,0,0,0,0,0,0,0,0,68.8,55.45,13.7,8.7,3.7,0,0,0,0,0
5736,-,5740,0,0,0,0,0,0,0,0,0,0,69.2,55.85,13.85,8.85,3.85,0,0,0,0,0
5741,-,5745,0,0,0,0,0,0,0,0,0,0,69.6,56.25,14,9,4,0,0,0,0,0
5746,-,5750,0,0,0,0,0,0,0,0,0,0,70,56.65,14.15,9.15,4.15,0,0,0,0,0
5751,-,5755,0,0,0,0,0,0,0,0,0,0,70.4,57.05,14.3,9.3,4.3,0,0,0,0,0
